Chemical	Term	GOID	Bonferroni
C151506444	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.1687690193925385e-19
C151506444	I-kappaB kinase/NF-kappaB signaling	GO:0007249	1.794055703705574e-18
C151506444	stimulatory C-type lectin receptor signaling pathway	GO:0002223	2.8657964995299716e-14
C151506444	activation of MAPKK activity	GO:0000186	1.9474311052647408e-11
C151506444	positive regulation of NF-kappaB transcription factor activity	GO:0051092	3.2331137767016565e-11
C151506444	Fc-epsilon receptor signaling pathway	GO:0038095	1.5163492683711866e-10
C151506444	negative regulation of apoptotic process	GO:0043066	9.107549159281804e-10
C151506444	T cell receptor signaling pathway	GO:0050852	2.92209201280258e-09
C151506444	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	9.295296643507811e-09
C151506444	apoptotic process	GO:0006915	9.459410255097112e-09
C151506444	positive regulation of transcription, DNA-templated	GO:0045893	8.126535133712308e-08
C151506444	stress-activated MAPK cascade	GO:0051403	1.142828135458629e-07
C151506444	protein phosphorylation	GO:0006468	5.261405375822648e-07
C151506444	cellular response to mechanical stimulus	GO:0071260	2.3186208880643377e-06
C151506444	viral process	GO:0016032	3.76618721509292e-06
C151506444	regulation of cellular response to heat	GO:1900034	3.821266408188252e-06
C151506444	activation of MAPK activity	GO:0000187	5.698760490280287e-06
C151506444	nucleotide-binding oligomerization domain containing signaling pathway	GO:0070423	2.5848169138531493e-05
C151506444	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	3.3260527354528335e-05
C151506444	TRIF-dependent toll-like receptor signaling pathway	GO:0035666	5.406520707951224e-05
C151506444	positive regulation of type I interferon production	GO:0032481	9.592032456895438e-05
C151506444	positive regulation of cell migration	GO:0030335	9.998686365464417e-05
C151506444	transcription from RNA polymerase II promoter	GO:0006366	0.00014384664069388986
C151506444	cellular response to DNA damage stimulus	GO:0006974	0.0003475769589745825
C151506444	peptidyl-serine phosphorylation	GO:0018105	0.00034889646441693683
C151506444	positive regulation of protein phosphorylation	GO:0001934	0.00039975900517275065
C151506444	NIK/NF-kappaB signaling	GO:0038061	0.0005923294782792522
C151506444	protein stabilization	GO:0050821	0.0007167906019177607
C151506444	cellular response to insulin stimulus	GO:0032869	0.001717232826758508
C151506444	T cell costimulation	GO:0031295	0.001875700378827561
C151506444	cellular response to lipopolysaccharide	GO:0071222	0.0019361772929834546
C151506444	negative regulation of transcription, DNA-templated	GO:0045892	0.002999587105828261
C151506444	inflammatory response	GO:0006954	0.003682134151027361
C151506444	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	0.004674637908772872
C151506444	response to muscle stretch	GO:0035994	0.006265346526788895
C151506444	regulation of cell proliferation	GO:0042127	0.00923717189852824
C186392654	regulation of signal transduction by p53 class mediator	GO:1901796	1.638665448650443e-22
C186392654	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.0272274916812655e-20
C186392654	positive regulation of transcription, DNA-templated	GO:0045893	2.496175916933181e-18
C186392654	viral process	GO:0016032	9.085993304307593e-15
