Q8TBF5	PIGX
Q8TBF4	ZCRB1
Q5MIZ7	PPP4R3B
Q9NVL8	C14orf105
Q8IZF5	ADGRF3
P30613	PKLR
P23409	MYF6
Q9NQ76	MEPE
Q8TBF8	FAM81A
O95342	ABCB11
Q5H9L2	TCEAL5
P20930	FLG
Q9NQ79	CRTAC1
Q8TDW4	ST7L
P20936	RASA1
Q8NFX7	STXBP6
Q496A3	SPATS1
P83859	QRFP
P40617	ARL4A
Q8TBF2	FAM213B
Q15573	TAF1A
Q15572	TAF1C
Q9H999	PANK3
P23919	DTYMK
Q8NHX4	SPATA3
Q8NHX9	TPCN2
Q6UX39	AMTN
Q6ZNW5	GDPGP1
Q9NXR8	ING3
Q9C0H2	TTYH3
Q9C0H5	ARHGAP39
Q9H1Y0	ATG5
Q4VXU2	PABPC1L
Q68DE3	USF3
Q00535	CDK5
Q00534	CDK6
Q00537	CDK17
Q07960	ARHGAP1
Q9NXR5	ANKRD10
Q9NXR7	BRE
O00712	NFIB
Q9UBM8	MGAT4C
Q96J65	ABCC12
O00241	SIRPB1
O00716	E2F3
Q9UBM1	PEMT
Q9UBM7	DHCR7
Q9UBM4	OPTC
P51993	FUT6
Q13835	PKP1
Q7Z3T1	OR2W3
A0AVF1	TTC26
P40424	PBX1
P40425	PBX2
P40426	PBX3
P40429	RPL13A
Q71RG4	TMUB2
Q7Z3T8	ZFYVE16
Q13838	DDX39B
P20933	AGA
P08842	STS
P03891	MT-ND2
P48960	CD97
P03897	MT-ND3
P02768	ALB
Q0VDD8	DNAH14
P05386	RPLP1
P05387	RPLP2
P07902	GALT
P21815	IBSP
P08559	PDHA1
P02760	AMBP
P05388	RPLP0
P02765	AHSG
P02766	TTR
Q7L266	ASRGL1
Q9UQ07	MOK
Q9UQ05	KCNH4
Q9UJ70	NAGK
Q2M218	ZNF630
Q9UJ72	ANXA10
Q15165	PON2
Q9UJ78	ZMYM5
Q8NH83	OR4A5
O15254	ACOX3
O15255	FAM127A
Q86WA8	LONP2
Q6ZTI6	FAM101A
O15258	RER1
O15259	NPHP1
P20813	CYP2B6
Q86XA0	METTL23
P29401	TKT
P29400	COL4A5
Q5VWT5	C1orf168
Q86XA9	HEATR5A
P39023	RPL3
Q5T5X7	BEND3
O00330	PDHX
Q2VWP7	PRTG
Q8WX94	NLRP7
Q9Y6V7	DDX49
Q01118	SCN7A
Q9H840	GEMIN7
Q96CS2	HAUS1
Q69384	ERVK-6
Q96CS4	ZNF689
Q9P218	COL20A1
Q5W111	SPRYD7
Q96CS7	PLEKHB2
Q9UK13	ZNF221
Q9UK12	ZNF222
Q9UK11	ZNF223
Q9UK10	ZNF225
Q9UK17	KCND3
Q9BVC3	DSCC1
Q9P212	PLCE1
Q92833	JARID2
Q92832	NELL1
Q92831	KAT2B
Q92830	KAT2A
Q92837	FRAT1
Q9H3M9	ATXN3L
Q92835	INPP5D
P21453	S1PR1
Q969K7	TMEM54
Q92839	HAS1
Q92838	EDA
Q9H3M0	KCNF1
Q969K3	RNF34
Q9BVC4	MLST8
Q9Y6E2	BZW2
Q8TAL5	C9orf43
Q9Y6E0	STK24
Q9Y6E7	SIRT4
O43930	PRKY
Q9HC73	CRLF2
Q9H799	C5orf42
Q9BZG8	DPH1
Q9Y597	KCTD3
Q9BVC6	TMEM109
Q9Y592	CEP83
P01236	PRL
Q92598	HSPH1
Q9NWM8	FKBP14
P16402	HIST1H1D
Q8N865	C7orf31
Q09160	HLA-A
