"chid","chnm","casn","code","dsstox_substance_id","clib"
20005,"Acetamide","60-35-5","C60355","DTXSID7020005","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20006,"Acetaminophen","103-90-2","C103902","DTXSID2020006","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20007,"Acetohexamide","968-81-0","C968810","DTXSID7020007","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20009,"Acetonitrile","75-05-8","C75058","DTXSID7020009","TOX21SL|TOXCAST"
20014,"Dehydroacetic acid","520-45-6","C520456","DTXSID6020014","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20015,"1-Acetyl-2-phenylhydrazine","114-83-0","C114830","DTXSID1020015","TOX21SL"
20020,"4-Acetylaminophenylacetic acid","18699-02-0","C18699020","DTXSID0020020","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20021,"N-Acetyl-L-cysteine","616-91-1","C616911","DTXSID5020021","TOX21SL"
20022,"Acifluorfen","50594-66-6","C50594666","DTXSID0020022","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20023,"Acrolein","107-02-8","C107028","DTXSID5020023","TOX21SL|TOXCAST"
20024,"Acrolein diethylacetal","3054-95-3","C3054953","DTXSID0020024","TOX21SL"
20027,"Acrylamide","79-06-1","C79061","DTXSID5020027","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20029,"Acrylonitrile","107-13-1","C107131","DTXSID5020029","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20031,"Actinomycin D","50-76-0","C50760","DTXSID9020031","TOX21SL"
20032,"Adipamide","628-94-4","C628944","DTXSID4020032","TOX21SL"
20038,"Alclofenac","22131-79-9","C22131799","DTXSID4020038","TOX21SL"
20040,"Aldrin","309-00-2","C309002","DTXSID8020040","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20043,"Allantoin","97-59-6","C97596","DTXSID3020043","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20044,"Allyl alcohol","107-18-6","C107186","DTXSID8020044","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20047,"Allyl isothiocyanate","57-06-7","C57067","DTXSID3020047","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20053,"3-Amino-4-ethoxyacetanilide","17026-81-2","C17026812","DTXSID7020053","TOX21SL"
20054,"3-Amino-9-ethylcarbazole hydrochloride","6109-97-3","C6109973","DTXSID2020054","TOX21SL"
20057,"1-Amino-2-methylanthraquinone","82-28-0","C82280","DTXSID7020057","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20058,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole","3775-55-1","C3775551","DTXSID2020058","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20062,"2-Amino-4-nitrophenol","99-57-0","C99570","DTXSID6020062","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20063,"2-Amino-5-nitrophenol","121-88-0","C121880","DTXSID1020063","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20064,"4-Amino-2-nitrophenol","119-34-6","C119346","DTXSID6020064","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20066,"2-Amino-5-nitrothiazole","121-66-4","C121664","DTXSID6020066","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20068,"2-Aminoanthraquinone","117-79-3","C117793","DTXSID6020068","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20069,"2-Amino-5-azotoluene","97-56-3","C97563","DTXSID1020069","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20070,"6-Aminocaproic acid","60-32-2","C60322","DTXSID0020070","TOX21SL"
20071,"4-Biphenylamine","92-67-1","C92671","DTXSID5020071","TOX21SL"
20072,"4-Biphenylamine hydrochloride","2113-61-3","C2113613","DTXSID0020072","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20074,"Gabapentin","60142-96-3","C60142963","DTXSID0020074","TOX21SL"
20076,"Amitrole","61-82-5","C61825","DTXSID0020076","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20079,"Diammonium citrate","3012-65-5","C3012655","DTXSID5020079","TOX21SL"
20081,"Amobarbital","57-43-2","C57432","DTXSID9020081","TOX21SL"
20083,"Ampicillin trihydrate","7177-48-2","C7177482","DTXSID9020083","TOX21SL"
20086,"Anethole","104-46-1","C104461","DTXSID4020086","TOX21SL"
20087,"(E)-Anethole","4180-23-8","C4180238","DTXSID9020087","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20088,"Chloralose","15879-93-3","C15879933","DTXSID4020088","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20089,"Anilazine","101-05-3","C101053","DTXSID9020089","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20090,"Aniline","62-53-3","C62533","DTXSID8020090","TOX21SL"
20091,"Aniline hydrochloride","142-04-1","C142041","DTXSID3020091","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20092,"2-Methoxyaniline hydrochloride","134-29-2","C134292","DTXSID8020092","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20093,"4-Methoxyaniline hydrochloride","20265-97-8","C20265978","DTXSID3020093","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20094,"Anthranilic acid","118-92-3","C118923","DTXSID8020094","TOX21SL"
20095,"Anthraquinone","84-65-1","C84651","DTXSID3020095","TOX21SL"
20097,"Aramite","140-57-8","C140578","DTXSID3020097","TOX21SL"
20099,"Sodium aristolochate-I","10190-99-5","C10190995","DTXSID3020099","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
20101,"Aroclor 1260","11096-82-5","C11096825","DTXSID0020101","TOX21SL"
20103,"Arsenic oxide (As2O3)","1327-53-3","C1327533","DTXSID0020103","TOX21SL"
20105,"Sodium L-ascorbate","134-03-2","C134032","DTXSID0020105","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20106,"L-Ascorbic acid","50-81-7","C50817","DTXSID5020106","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20107,"Aspartame","22839-47-0","C22839470","DTXSID0020107","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20108,"Aspirin","50-78-2","C50782","DTXSID5020108","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20110,"Astemizole","68844-77-9","C68844779","DTXSID9020110","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
20112,"Atrazine","1912-24-9","C1912249","DTXSID9020112","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20113,"Atropine","51-55-8","C51558","DTXSID4020113","TOX21SL"
20114,"Auramine hydrochloride","2465-27-2","C2465272","DTXSID9020114","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20115,"Auranofin","34031-32-8","C34031328","DTXSID4020115","TOX21SL"
20116,"5-Azacytidine","320-67-2","C320672","DTXSID9020116","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20117,"6-Azacytidine","3131-60-0","C3131600","DTXSID4020117","TOX21SL"
20118,"Azaserine","115-02-6","C115026","DTXSID9020118","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20119,"Azathioprine","446-86-6","C446866","DTXSID4020119","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20120,"Azelnidipine","123524-52-7","C123524527","DTXSID3020120","TOX21SL"
20121,"Sodium azide","26628-22-8","C26628228","DTXSID8020121","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20122,"Azinphos-methyl","86-50-0","C86500","DTXSID3020122","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20123,"Azobenzene","103-33-3","C103333","DTXSID8020123","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20127,"3'-Azido-3'-deoxythymidine","30516-87-1","C30516871","DTXSID8020127","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20128,"Sodium barbital","144-02-5","C144025","DTXSID3020128","TOX21SL"
20129,"Barbituric acid","67-52-7","C67527","DTXSID8020129","TOX21SL"
20131,"Barium chloride dihydrate","10326-27-9","C10326279","DTXSID2020131","TOX21SL"
20137,"Benzidine","92-87-5","C92875","DTXSID2020137","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20138,"Benzidine dihydrochloride","531-85-1","C531851","DTXSID7020138","TOX21SL"
20139,"Benzo(a)pyrene","50-32-8","C50328","DTXSID2020139","TOX21SL"
20140,"Sodium benzoate","532-32-1","C532321","DTXSID1020140","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20141,"2,3-Benzofuran","271-89-6","C271896","DTXSID6020141","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20142,"6-Phenyl-1,3,5-triazine-2,4-diamine","91-76-9","C91769","DTXSID1020142","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20143,"Benzoic acid","65-85-0","C65850","DTXSID6020143","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20144,"Benzoin","119-53-9","C119539","DTXSID1020144","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20145,"1,4-Benzoquinone","106-51-4","C106514","DTXSID6020145","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20146,"2,2'-Dithiobisbenzothiazole","120-78-5","C120785","DTXSID1020146","TOX21SL"
20147,"1,2,3-Benzotriazole","95-14-7","C95147","DTXSID6020147","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
