Chemical	Term	GOID	Bonferroni
C101724	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.1906146771479754e-24
C101724	peptidyl-serine phosphorylation	GO:0018105	5.330737058578392e-15
C101724	positive regulation of transcription, DNA-templated	GO:0045893	6.210760130469407e-15
C101724	protein phosphorylation	GO:0006468	1.2981670936807392e-14
C101724	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.2709766572527315e-10
C101724	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	2.578137703324046e-10
C101724	response to drug	GO:0042493	3.833283690468648e-10
C101724	apoptotic process	GO:0006915	1.1013623346656234e-09
C101724	intracellular signal transduction	GO:0035556	4.13813716626521e-09
C101724	negative regulation of apoptotic process	GO:0043066	6.991954681900837e-09
C101724	signal transduction	GO:0007165	1.2765399959313584e-08
C101724	tumor necrosis factor-mediated signaling pathway	GO:0033209	2.1390853532921028e-08
C101724	cellular response to DNA damage stimulus	GO:0006974	3.361891509623405e-08
C101724	positive regulation of gene expression	GO:0010628	5.3502914321157384e-08
C101724	insulin-like growth factor receptor signaling pathway	GO:0048009	2.48838880168023e-07
C101724	negative regulation of transcription, DNA-templated	GO:0045892	4.0125267786184077e-07
C101724	cellular response to reactive oxygen species	GO:0034614	1.9363509649039656e-06
C101724	regulation of cell cycle	GO:0051726	2.932817985468184e-06
C101724	cellular response to xenobiotic stimulus	GO:0071466	3.3672208346047228e-06
C101724	cellular response to cadmium ion	GO:0071276	3.405623875019081e-06
C101724	protein autophosphorylation	GO:0046777	5.9005550542279295e-06
C101724	protein import into nucleus	GO:0006606	7.488841438085814e-06
C101724	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	1.0348755179245828e-05
C101724	transcription from RNA polymerase II promoter	GO:0006366	1.1222610508454522e-05
C101724	rhythmic process	GO:0048511	1.3334066257919552e-05
C101724	negative regulation of gene expression	GO:0010629	2.1281638220571605e-05
C101724	positive regulation of protein phosphorylation	GO:0001934	2.9050145151532373e-05
C101724	MAPK cascade	GO:0000165	4.686971423539799e-05
C101724	I-kappaB kinase/NF-kappaB signaling	GO:0007249	6.06874270306923e-05
C101724	positive regulation of ERK1 and ERK2 cascade	GO:0070374	6.435506865110074e-05
C101724	regulation of apoptotic process	GO:0042981	0.00010402184745084142
