TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000165"	"MAPK cascade"	-2.5272435506827877	2.3364597338485296	1.2164902004956073	0.8472771853387866	0.23654012	null
"GO:0001525"	"angiogenesis"	-3.496209316942819	2.5224442335063197	1.8697904933543592	0.964643508889818	0.17947313	null
"GO:0007169"	"RTK signaling"	-13.430626090384955	2.621176281775035	2.348501914845686	0.7089909002487984	0.00521081	null
"GO:0007568"	"aging"	-6.97061622231479	2.2329961103921536	0.9574228429826538	0.9735182316248114	-0	null
"GO:0007611"	"learning or memory"	-3.0609802235513337	2.4409090820652177	1.5487722460013515	0.9841051489600164	-0	null
"GO:0010718"	"pos. reg. of EMT"	-2.2441251443275085	1.7403626894942439	0.3041225501239018	0.8439624334037817	0.46261736	null
"GO:0014068"	"pos. reg. of PI3K signaling"	-6.707743928643524	1.9138138523837167	0.45618382518585265	0.7894964315833823	0.18049674	null
"GO:0019221"	"cytokine-mediated signaling"	-6.782516055786093	2.574031267727719	2.106330254561838	0.7316565744170109	0.4971529	null
"GO:0030183"	"B cell differentiation"	-3.6038006529042637	2.113943352306837	0.7265149808515431	0.920362829189779	0.32877843	null
"GO:0030335"	"pos. reg. of cell migration"	-11.48678239993206	2.7193312869837265	2.9454832169407523	0.8121883983357501	0.04900232	null
"GO:0030511"	"pos. reg. of TGFB receptor signaling"	-3.078313524516398	1.5185139398778875	0.18022077044379364	0.8158911258462792	0.38265644	null
"GO:0031295"	"T cell costimulation"	-4.327902142064283	1.6127838567197355	0.22527596305474207	0.8104041959572705	0.16725907	null
"GO:0038096"	"Fc-gamma receptor signaling [...]"	-4.260427655549908	1.3424226808222062	0.11826988060373957	0.6918556467804867	0.43020421	null
"GO:0043066"	"neg. reg. of apoptotic process"	-9.67366413907125	2.94546858513182	4.961703086280694	0.8902568127743241	0.05461668	null
"GO:0070301"	"cellular response to\nhydrogen peroxide"	-2.7644715530924513	1.8388490907372552	0.38296913719306147	0.8559235439122582	0.25710462	null
"GO:0071364"	"cellular response to\nEGF stimulus"	-5.512861624522814	1.6434526764861874	0.2421716602838477	0.8811728242282078	0.08646926	null
