TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000165"	"MAPK cascade"	-2.5272435506827877	2.3364597338485296	1.2164902004956073	0.8472771853387866	0.23654012	null
"GO:0001525"	"angiogenesis"	-3.496209316942819	2.5224442335063197	1.8697904933543592	0.964643508889818	0.17947313	null
"GO:0001934"	"pos. reg. of protein phosphorylation"	-5.359518563029578	2.8524799936368566	4.00428024329804	0.7144170910657817	0.32170142	null
"GO:0033674"	"pos. reg. of kinase activity"	-4.205511953340831	2.6344772701607315	2.4217166028384773	0.7258019575597288	0.86084841	1934
"GO:0042531"	"pos. reg. of tyrosine phosphorylation of STAT protein"	-2.9469215565165805	1.8195439355418688	0.36607343996395586	0.7674557600717654	0.82889953	1934
"GO:0043552"	"pos. reg. of phosphatidylinositol 3-kinase activity"	-3.281498311132726	1.5185139398778875	0.18022077044379364	0.7837071120036242	0.62632683	1934
"GO:0050731"	"pos. reg. of peptidyl-tyrosine phosphorylation"	-4.7594507517174005	2.2528530309798933	1.0024780355936023	0.7452494420434845	0.76376132	1934
"GO:0006366"	"transcription by RNA polymerase II"	-7.014124642691606	2.552668216112193	2.0049560711872045	0.9722117577997723	0.16064014	null
"GO:0006468"	"protein phosphorylation"	-17.129596094720974	2.8567288903828825	4.04370353683262	0.887735400601298	0	null
"GO:0018105"	"peptidyl-serine phosphorylation"	-6.06198090252379	2.2671717284030137	1.0362694300518136	0.8939833481701704	0.7276605	6468
"GO:0018107"	"peptidyl-threonine phosphorylation"	-4.29073003902417	1.8388490907372552	0.38296913719306147	0.9023884823766167	0.64509634	6468
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	-17.65560772631489	2.2405492482826	0.9743185402117595	0.8867945696266524	0.72193848	6468
"GO:0038083"	"peptidyl-tyrosine autophosphorylation"	-4.149353764816934	1.255272505103306	0.09574228429826537	0.9045915284634434	0.78984341	6468
"GO:0046777"	"protein autophosphorylation"	-15.721246399047171	2.2764618041732443	1.0587970263572877	0.8937906163220626	0.72967818	6468
"GO:0007165"	"signal transduction"	-10.954677021213342	3.6770591773921613	26.768416309979727	0.7872862084143384	0.354385	null
"GO:0007169"	"transmembrane RTK signaling pathway"	-13.430626090384955	2.621176281775035	2.348501914845686	0.7089909002487984	0.00521081	null
"GO:0007173"	"epidermal growth factor receptor signaling pathway"	-10.66354026615147	1.7323937598229686	0.29849065104753325	0.7463152818474957	0.67438997	7169
"GO:0007179"	"transforming growth factor beta receptor signaling pathway"	-3.2254830342714502	2	0.5575580085604867	0.7048566495193083	0.72151998	7169
"GO:0007183"	"SMAD protein complex assembly"	-2.2572748686953017	0.9030899869919435	0.03942329353457986	0.7849337096977798	0.55659641	7169
"GO:0008286"	"insulin receptor signaling pathway"	-10.899629454882437	1.8512583487190752	0.3942329353457986	0.6756629361899124	0.69459132	7169
"GO:0032869"	"cellular response to insulin stimulus"	-4.286509456906058	2.1818435879447726	0.8504167605316513	0.7861919251486663	0.84547913	7169
"GO:0048009"	"insulin-like growth factor receptor signaling pathway"	-11.1444808443322	1.4771212547196624	0.163325073214688	0.7577853309628707	0.63439867	7169
"GO:0048013"	"ephrin receptor signaling pathway"	-2.2441251443275085	1.7075701760979363	0.2815949538184276	0.7474686616517003	0.67030678	7169
"GO:0060396"	"growth hormone receptor signaling pathway"	-3.3260580013659125	1.2787536009528289	0.10137418337463391	0.6977615492666703	0.94349615	7169
"GO:0060397"	"growth hormone receptor signaling pathway via JAK-STAT"	-3.853871964321762	0.9542425094393249	0.04505519261094841	0.7136349626015811	0.56308387	7169
"GO:1904385"	"cellular response to angiotensin"	-2.9244530386074694	1.4313637641589874	0.14642937598558234	0.8135963466548284	0.70108884	7169
"GO:0007275"	"multicellular organism development"	-2.0048037084028207	3.59250984790068	22.031989186753773	0.9512450287369926	0.49511805	null
"GO:0007568"	"aging"	-6.97061622231479	2.2329961103921536	0.9574228429826538	0.9735182316248114	-0	null
"GO:0007611"	"learning or memory"	-3.0609802235513337	2.4409090820652177	1.5487722460013515	0.9841051489600164	-0	null
"GO:0008285"	"neg. reg. of cell population proliferation"	-7.518557371497695	2.842609239610562	3.9141698580761433	0.888134871883409	0.31319592	null
