#Chemical Name	ID	# rec	# tfs
N-Isopropyl-N'-phenyl-p-phenylenediamine	C101724	3	4
4-Nitro-N-phenylaniline	C836306	1	1
AVE3247	CNOCAS47383	2	1
Tri-o-cresyl phosphate	C78308	1	6
Propiconazole	C60207901	5	10
4-(1,1,3,3-Tetramethylbutyl)phenol	C140669	8	2
Thidiazuron	C51707552	2	7
Ethofumesate	C26225796	2	7
Allethrin	C584792	2	12
Amiodarone hydrochloride	C19774824	25	9
Prothioconazole	C178928706	1	5
Benzethonium chloride	C121540	4	9
SB236057A	C180084019	14	7
Spiroxamine	C118134308	8	12
Dinocap	C39300453	3	21
2-Nitro-1,4-phenylenediamine	C5307142	1	1
Tripropylene glycol diacrylate	C42978665	1	4
CJ-013610	C249296433	8	23
HMR1171	C328392467	19	4
6-Thioguanine	C154427	1	4
Dodecyltrimethylammonium chloride	C112005	17	8
Amitraz	C33089611	2	4
Elzasonan	C361343193	6	6
Trimethylolpropane trimethacrylate	C3290924	2	7
Tributyltin methacrylate	C2155706	29	18
Malathion	C121755	2	5
Docusate sodium	C577117	24	4
Difenzoquat metilsulfate	C43222486	7	1
1,2-Phenylenediamine	C95545	2	8
4,5-Dichloro-3H-1,2-dithiol-3-one	C1192525	3	13
Bismaleimide	C13676545	2	17
Caffeine	C58082	2	5
Imazethapyr	C81335775	1	2
Indole-3-carbinol	C700061	2	7
Sodium dodecyl sulfate	C151213	19	8
CI-1029	C207736058	3	3
(9E,12Z)-9,12-Tetradecadien-1-ol acetate	C31654770	1	3
PharmaGSID_48172	CNOCAS48172	13	3
Diethylstilbestrol	C56531	12	10
Xanthone	C90471	1	1
SSR 241586 HCl	CNOCAS47353	23	5
4-tert-Butylcatechol	C98293	4	5
Clorophene	C120321	18	1
Tamoxifen	C10540291	5	1
N,N-Dimethyloctylamine	C7378996	2	2
Chlorhexidine dihydrochloride	C3697425	4	10
Binapacryl	C485314	1	19
Kepone	C143500	5	6
Flusilazole	C85509199	4	8
Tebufenozide	C112410238	2	4
Ethion	C563122	1	1
Tributyltin chloride	C1461229	26	22
Milbemectin (mixture of 70% Milbemcin A4, 30% Milbemycin A3)	CNOCAS34742	18	2
SSR126768	CNOCAS47379	11	17
Prallethrin	C23031369	2	16
